date;subject;description;type
2024/01/10 16:34:59;Academy;Connection with Bpod stablished;START
2024/01/10 16:34:59;Academy;Temperature: nan;ACTION
2024/01/10 16:35:38;Academy;Taring the scale;ACTION
2024/01/10 16:35:47;Academy;weight: 6.28;ACTION
2024/01/10 16:35:51;Academy;weight: -0.38;ACTION
2024/01/10 16:35:55;Academy;weight: 5.81;ACTION
2024/01/10 16:36:05;Academy;weight: 0.02;ACTION
2024/01/10 16:36:08;Academy;weight: -0.15;ACTION
2024/01/10 16:36:09;Academy;Taring the scale;ACTION
2024/01/10 16:36:13;Academy;weight: -0.26;ACTION
2024/01/10 16:36:15;Academy;Taring the scale;ACTION
2024/01/10 16:36:22;Academy;weight: 2.54;ACTION
2024/01/10 16:36:28;Academy;weight: 8.19;ACTION
2024/01/10 16:36:30;Academy;weight: 2.55;ACTION
2024/01/10 16:36:32;Academy;weight: 2.75;ACTION
2024/01/10 16:36:41;Academy;weight: 29.94;ACTION
2024/01/10 16:36:44;Academy;weight: 2.79;ACTION
2024/01/10 16:36:58;Academy;weight: 19.41;ACTION
2024/01/10 16:37:00;Academy;weight: 23.24;ACTION
2024/01/10 16:39:38;Academy;EXIT;END
2024/01/10 16:43:36;Academy;Cam1 not found;ERROR
2024/01/10 16:43:36;Academy;Touch device not found;ERROR
2024/01/10 16:43:36;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 16:43:37;Academy;Connection with Bpod stablished;START
2024/01/10 16:43:37;Academy;Temperature: nan;ACTION
2024/01/10 16:43:41;Academy;Go to state 7;ACTION
2024/01/10 16:43:44;animal0;Test_Photogates;START
2024/01/10 16:43:59;animal0;Test_Photogates-1-1;END
2024/01/10 17:00:02;Academy;Cam1 not found;ERROR
2024/01/10 17:00:02;Academy;Touch device not found;ERROR
2024/01/10 17:00:02;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 17:00:02;Academy;Connection with Bpod stablished;START
2024/01/10 17:00:03;Academy;Temperature: nan;ACTION
2024/01/10 17:00:13;Academy;Go to state 7;ACTION
2024/01/10 17:00:17;animal0;Test_Photogates;START
2024/01/10 17:00:27;animal0;Test_Photogates-1-1;END
2024/01/10 17:01:32;Academy;Cam1 not found;ERROR
2024/01/10 17:01:32;Academy;Touch device not found;ERROR
2024/01/10 17:01:32;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 17:01:33;Academy;Connection with Bpod stablished;START
2024/01/10 17:01:33;Academy;Temperature: nan;ACTION
2024/01/10 17:01:34;Academy;Go to state 7;ACTION
2024/01/10 17:01:39;animal0;Test_Photogate;START
2024/01/10 17:02:07;animal0;Test_Photogate-1-1;END
2024/01/10 17:02:15;Academy;Cam1 not found;ERROR
2024/01/10 17:02:15;Academy;Touch device not found;ERROR
2024/01/10 17:02:15;Academy;Stablishing connection with Bpod...;ACTION
2024/01/10 17:02:15;Academy;Connection with Bpod stablished;START
2024/01/10 17:02:16;Academy;Temperature: nan;ACTION
2024/01/10 17:02:16;Academy;Go to state 7;ACTION
2024/01/10 17:02:18;None;Test_Photogate;START
2024/01/10 17:02:42;None;Test_Photogate-1-1;END
